日付,曜日,レース番号,1着,2着,3着,3連単払戻,人気,風速,風向,波高,気温,水温,水質,潮位区分,1艇_選手名,1艇_級別,1艇_全国勝率,1艇_全国2連率,1艇_当地勝率,1艇_今節成績,1艇_モーター2連率,1艇_ボート2連率,1艇_展示タイム,1艇_展示ST,1艇_チルト,1艇_展示進入,1艇_実進入,1艇_F数,1艇_L数,2艇_選手名,2艇_級別,2艇_全国勝率,2艇_全国2連率,2艇_当地勝率,2艇_今節成績,2艇_モーター2連率,2艇_ボート2連率,2艇_展示タイム,2艇_展示ST,2艇_チルト,2艇_展示進入,2艇_実進入,2艇_F数,2艇_L数,3艇_選手名,3艇_級別,3艇_全国勝率,3艇_全国2連率,3艇_当地勝率,3艇_今節成績,3艇_モーター2連率,3艇_ボート2連率,3艇_展示タイム,3艇_展示ST,3艇_チルト,3艇_展示進入,3艇_実進入,3艇_F数,3艇_L数,4艇_選手名,4艇_級別,4艇_全国勝率,4艇_全国2連率,4艇_当地勝率,4艇_今節成績,4艇_モーター2連率,4艇_ボート2連率,4艇_展示タイム,4艇_展示ST,4艇_チルト,4艇_展示進入,4艇_実進入,4艇_F数,4艇_L数,5艇_選手名,5艇_級別,5艇_全国勝率,5艇_全国2連率,5艇_当地勝率,5艇_今節成績,5艇_モーター2連率,5艇_ボート2連率,5艇_展示タイム,5艇_展示ST,5艇_チルト,5艇_展示進入,5艇_実進入,5艇_F数,5艇_L数,6艇_選手名,6艇_級別,6艇_全国勝率,6艇_全国2連率,6艇_当地勝率,6艇_今節成績,6艇_モーター2連率,6艇_ボート2連率,6艇_展示タイム,6艇_展示ST,6艇_チルト,6艇_展示進入,6艇_実進入,6艇_F数,6艇_L数
2022-04-26,火,1,6,1,4,148170,105,1,11,1,21.0,16.0,海水,中潮,井川大作,B1,4.09,15.94,4.55,,32.00,50.00,6.84,0.10,0.0,1,1,0,0,東健介,B1,5.60,35.90,5.02,,38.67,42.86,6.76,0.19,0.0,2,2,0,0,山根大樹,B1,4.24,22.62,4.27,,32.39,42.11,6.86,0.03,0.0,3,3,0,0,長谷川雅和,B1,4.74,35.14,5.70,,28.92,32.26,6.81,F0.05,0.0,4,4,0,0,中井俊祐,B1,4.53,26.80,0.00,,33.75,26.47,6.83,0.04,-0.5,5,5,0,0,佐藤太亮,B2,2.13,2.94,2.08,,44.78,55.56,6.86,0.03,-0.5,6,6,0,0
2022-04-26,火,2,1,5,4,2780,9,2,13,3,20.0,16.0,海水,中潮,峰重侑治,B1,5.33,33.33,5.25,,32.05,38.46,6.78,0.19,0.0,1,1,1,0,川上清人,B1,4.52,25.23,4.58,,48.53,32.35,6.75,0.07,0.0,2,2,0,0,和田拓也,B1,5.65,33.86,4.57,,35.48,52.63,6.74,0.15,0.0,3,3,0,0,大野芳顕,B1,5.59,34.65,6.00,,39.47,31.43,6.83,0.04,-0.5,4,4,1,0,山本修一,A2,6.18,39.32,7.19,,42.67,19.44,6.83,0.05,0.0,5,5,0,0,坂本雅佳,B1,3.81,17.31,4.02,,39.44,32.43,6.96,0.17,0.0,6,6,1,0
2022-04-26,火,3,5,3,6,32040,111,2,13,3,20.0,16.0,海水,中潮,宮野仁,B1,4.69,25.53,4.74,,44.12,50.00,6.89,0.29,-0.5,1,1,1,0,平岡重典,B1,4.70,26.32,5.40,,32.88,38.89,6.81,0.04,-0.5,2,2,0,0,角山雄哉,B1,4.89,26.47,0.00,,31.08,4.17,6.81,F0.04,-0.5,3,3,1,0,前原大道,B1,5.24,32.41,4.92,,35.71,40.54,6.84,0.12,0.0,4,4,1,0,福嶋智之,B1,4.51,23.85,4.84,,54.24,44.74,6.77,0.13,0.0,5,5,1,0,山本寛久,A1,6.18,41.23,6.40,,42.03,33.33,6.83,0.18,0.0,6,6,0,0
2022-04-26,火,4,1,3,4,980,2,1,11,1,21.0,16.0,海水,中潮,柴田大輔,B1,4.94,33.66,4.30,,42.50,37.93,6.60,0.00,0.0,1,1,1,0,橋本明,B1,4.67,22.45,4.61,,27.50,32.43,6.83,0.17,-0.5,2,2,1,0,入海馨,A1,6.10,39.36,5.75,,42.42,50.00,6.79,0.10,0.0,3,3,0,0,下田哲也,B1,4.86,25.42,4.93,,31.82,32.43,6.84,F0.04,0.0,4,4,0,0,荒井輝年,A2,6.40,48.15,6.27,,36.49,25.71,6.89,F0.06,-0.5,5,5,1,0,小畑実成,B1,5.85,40.15,6.09,,33.80,31.43,6.89,F0.11,0.0,6,6,0,0
2022-04-26,火,5,1,3,4,680,1,2,3,3,21.0,16.0,海水,中潮,村岡賢人,A1,5.95,36.64,6.66,,26.47,34.21,6.83,0.03,0.0,1,1,0,0,岩橋裕馬,B1,4.23,17.59,3.57,,29.58,33.33,6.83,0.21,0.0,2,2,0,0,原村拓也,B1,4.03,17.12,5.22,,58.62,41.94,6.80,0.08,0.0,3,3,1,0,森定晃史,A2,6.53,48.87,6.66,,46.27,43.24,7.05,0.08,0.0,4,4,0,0,川崎公靖,B1,5.18,28.93,5.16,,28.40,33.33,6.91,0.08,0.0,5,5,1,0,藤原啓史朗,A2,6.35,48.18,6.56,,48.48,24.24,6.98,0.05,-0.5,6,6,0,0
2022-04-26,火,6,1,3,6,1580,6,2,3,3,21.0,16.0,海水,中潮,井手良太,A2,5.44,35.63,4.63,,39.19,51.35,6.81,F0.08,-0.5,1,1,1,0,大野芳顕,B1,5.59,34.65,6.00,4/3,39.47,31.43,6.87,0.01,0.0,2,2,1,0,長谷川雅和,B1,4.74,35.14,5.70,4/3,28.92,32.26,6.92,F0.11,0.0,3,3,0,0,宮本裕之,B1,4.44,26.53,0.00,,30.14,20.59,6.89,F0.04,0.0,4,4,0,0,山本浩次,A2,5.17,33.94,5.15,,52.63,32.35,6.90,0.04,-0.5,5,5,1,0,妹尾忠幸,A1,6.61,47.22,6.43,,39.19,21.74,6.98,0.10,-0.5,6,6,1,0
2022-04-26,火,7,1,2,5,1510,7,1,15,1,21.0,16.0,海水,中潮,前原大道,B1,5.24,32.41,4.92,4/5,35.71,40.54,6.85,0.35,0.0,1,1,1,0,茅原悠紀,A1,7.38,47.75,7.62,,40.00,31.43,6.74,0.04,0.0,2,2,0,0,井川大作,B1,4.09,15.94,4.55,1/2,32.00,50.00,6.87,0.07,0.0,3,3,0,0,和田拓也,B1,5.65,33.86,4.57,3/5,35.48,52.63,6.83,F0.02,0.5,4,4,0,0,清水敦揮,A1,6.12,41.10,5.47,,44.00,40.74,6.85,F0.02,0.0,5,5,0,0,渡辺空依,B2,3.49,11.76,2.78,,37.97,21.43,6.92,0.08,0.0,6,6,0,0
2022-04-26,火,8,1,2,4,1680,4,0,17,1,21.0,16.0,海水,中潮,下田哲也,B1,4.86,25.42,4.93,4/3,31.82,32.43,6.88,0.05,0.0,1,1,0,0,林祐介,A2,5.60,40.00,5.53,,34.15,56.76,6.81,0.13,-0.5,2,2,0,0,平岡重典,B1,4.70,26.32,5.40,2/4,32.88,38.89,6.85,0.01,0.0,3,3,0,0,東健介,B1,5.60,35.90,5.02,2/5,38.67,42.86,6.89,F0.07,0.0,4,4,0,0,岡瀬正人,A2,6.30,44.14,6.12,,30.14,33.33,6.95,F0.13,0.0,5,5,0,0,渡邉和将,A1,7.30,57.14,6.54,,42.62,36.11,6.78,F0.06,0.0,6,6,1,0
2022-04-26,火,9,1,6,4,17600,37,0,17,1,21.0,16.0,海水,中潮,山本修一,A2,6.18,39.32,7.19,5/2,42.67,19.44,6.86,F0.08,0.0,1,1,0,0,原村拓也,B1,4.03,17.12,5.22,3/2,58.62,41.94,6.74,0.13,0.0,2,2,1,0,山口達也,A2,7.25,57.47,6.55,,32.88,34.21,6.96,F0.04,-0.5,3,3,1,0,宮野仁,B1,4.69,25.53,4.74,1/6,44.12,50.00,6.99,0.01,0.0,4,4,1,0,柴田大輔,B1,4.94,33.66,4.30,1/1,42.50,37.93,6.78,F0.08,0.0,5,5,1,0,山田佑樹,A2,5.64,39.13,5.84,,27.85,46.88,6.95,F0.01,-0.5,6,6,1,0
2022-04-26,火,10,2,1,3,6350,23,1,11,1,21.0,16.0,海水,中潮,森定晃史,A2,6.53,48.87,6.66,4/3,46.27,43.24,6.83,0.07,0.0,1,1,0,0,福嶋智之,B1,4.51,23.85,4.84,5/1,54.24,44.74,6.80,0.23,0.0,2,2,1,0,小畑実成,B1,5.85,40.15,6.09,6/6,33.80,31.43,6.83,0.32,0.0,3,3,0,0,井手良太,A2,5.44,35.63,4.63,1/1,39.19,51.35,6.80,F0.05,-0.5,4,4,1,0,峰重侑治,B1,5.33,33.33,5.25,1/1,32.05,38.46,6.82,0.04,0.0,5,5,1,0,末永由楽,A1,5.79,37.82,6.17,,28.38,34.29,6.91,0.13,-0.5,6,6,1,0
